,one,two,three,four
0,1,1,4,964982703
1,1,2,4,964981247
2,1,3,4,964982224
3,1,4,5,964983815
4,1,5,5,964982931
5,1,6,3,964982400
6,1,7,5,964980868
7,1,8,4,964982176
8,1,9,5,964984041
9,1,10,5,964984100
10,1,11,5,964983650
11,1,12,5,964981208
12,1,13,3,964980985
13,1,14,5,964981179
14,1,15,4,964980908
15,1,16,5,964981680
16,1,17,3,964982967
17,1,18,3,964982310
18,1,19,5,964981179
19,1,20,4,964982563
20,1,21,4,964980962
21,1,22,5,964982588
22,1,23,4,964981710
23,1,24,3,964982363
24,1,25,4,964980868
25,1,26,5,964981909
26,1,27,4,964982346
27,1,28,3,964981208
28,1,29,5,964984002
29,1,30,4,964981179
30,1,31,4,964982653
31,1,32,5,964984153
32,1,33,4,964982546
33,1,34,4,964982271
34,1,35,4,964983793
35,1,36,5,964982838
36,1,37,5,964982931
37,1,38,3,964982563
38,1,39,5,964982838
39,1,40,3,964981775
40,1,41,4,964982400
41,1,42,3,964982653
42,1,43,3,964984086
43,1,44,4,964980499
44,1,45,5,964982475
45,1,46,5,964981529
46,1,47,5,964982176
47,1,48,4,964983614
48,1,49,5,964983219
49,1,50,3,964981775
50,1,51,5,964982681
51,1,52,5,964982876
52,1,53,5,964982791
53,1,54,5,964982855
54,1,55,3,964982903
55,1,56,5,964982653
56,1,57,5,964982791
57,1,58,4,964981179
58,1,59,5,964982400
59,1,60,4,964980924
60,1,61,5,964981680
61,1,62,5,964981327
62,1,63,5,964982951
63,1,64,4,964984018
64,1,65,5,964983484
65,1,66,5,964981680
66,1,67,4,964982513
67,1,68,5,964981327
68,1,69,5,964981827
69,1,70,5,964981872
70,1,71,5,964981827
71,1,72,5,964983737
72,1,73,4,964983250
73,1,74,5,964980499
74,1,75,5,964982951
75,1,76,4,964981855
76,1,77,2,964983393
77,1,78,5,964981909
78,1,79,5,964981909
79,1,80,5,964984018
80,1,81,5,964983618
81,1,82,5,964983723
82,1,83,5,964981442
83,1,84,3,964983414
84,1,85,4,964983599
85,1,86,5,964983705
86,1,87,5,964982290
87,1,88,5,964983414
88,1,89,5,964982703
89,1,90,5,964981909
90,1,91,5,964984086
91,1,92,4,964983393
92,1,93,3,964982653
93,1,94,3,964983017
94,1,95,3,964982310
95,1,96,3,964984112
96,1,97,4,964980875
97,1,98,4,964980985
98,1,99,5,964981107
99,1,100,4,964982620
100,1,101,5,964982290
101,1,102,3,964981125
102,1,103,5,964982346
103,1,104,5,964982951
104,1,105,4,964983056
105,1,106,5,964983504
106,1,107,3,964983536
107,1,108,3,964982620
108,1,109,5,964981125
109,1,110,4,964981230
110,1,111,4,964981404
111,1,112,5,964983034
112,1,113,4,964983056
113,1,114,4,964981780
114,1,115,5,964981497
115,1,116,5,964982176
116,1,117,4,964981710
117,1,118,4,964982211
118,1,119,5,964981710
119,1,120,4,964984176
120,1,121,5,964980523
121,1,122,4,964981888
122,1,123,5,964982903
123,1,124,4,964982563
124,1,125,5,964982791
125,1,126,4,964981747
126,1,127,5,964982400
127,1,128,5,964982838
128,1,129,5,964982838
129,1,130,3,964981710
130,1,131,5,964982653
131,1,132,4,964982838
132,1,133,4,964982588
133,1,134,4,964981725
134,1,135,5,964982529
135,1,136,5,964982876
136,1,137,5,964982791
137,1,138,5,964982791
138,1,139,5,964982838
139,1,140,4,964981725
140,1,141,5,964981710
141,1,142,4,964981680
142,1,143,4,964981710
143,1,144,2,964981775
144,1,145,4,964982989
145,1,146,4,964982310
146,1,147,5,964983664
147,1,148,5,964983263
148,1,149,2,964983546
149,1,150,5,964983861
150,1,151,4,964982462
151,1,152,5,964983123
152,1,153,2,964983094
153,1,154,5,964981093
154,1,155,4,964982310
155,1,156,3,964982513
156,1,157,5,964982242
157,1,158,4,964982620
158,1,159,5,964983414
159,1,160,5,964982588
160,1,161,4,964984169
161,1,162,4,965719662
162,1,163,5,964981278
163,1,164,3,964982328
164,1,165,5,964982242
165,1,166,5,964981265
166,1,167,5,964981888
167,1,168,5,964983000
168,1,169,5,964981144
169,1,170,4,964983080
170,1,171,2,964982588
171,1,172,4,964980523
172,1,173,4,964982377
173,1,174,5,964982620
174,1,175,4,964983393
175,1,176,4,964983414
176,1,177,5,964983393
177,1,178,3,964983426
178,1,179,5,964981855
179,1,180,5,964980985
180,1,181,5,964983414
181,1,182,5,964982703
182,1,183,4,964981710
183,1,184,4,964980523
184,1,185,5,964980868
185,1,186,5,964981680
186,1,187,5,964982703
187,1,188,4,964982290
188,1,189,5,964981872
189,1,190,5,964982176
190,1,191,5,964982191
191,1,192,5,964981888
192,1,193,5,964983282
193,1,194,4,964983034
194,1,195,5,964982495
195,1,196,5,964982271
196,1,197,5,964982242
197,1,198,4,964980896
198,1,199,5,964983762
199,1,200,5,964982791
200,1,201,5,964981208
201,1,202,5,964984086
202,1,203,4,964981872
203,1,204,5,964983873
204,1,205,4,964982495
205,1,206,1,964983504
206,1,207,3,964981093
207,1,208,3,964983108
208,1,209,5,964981107
209,1,210,5,964983536
210,1,211,5,964983484
211,1,212,4,964981799
212,1,213,4,964981799
213,1,214,5,964982328
214,1,215,5,964984054
215,1,216,5,964981144
216,1,217,4,964981725
217,1,218,4,964981775
218,1,219,4,964982271
219,1,220,5,964980668
220,1,221,4,964980683
221,1,222,4,964982271
222,1,223,5,964981589
223,1,224,5,964983737
224,1,225,5,964981909
225,1,226,5,964982363
226,1,227,4,964982417
227,1,228,4,964980694
228,1,229,5,964981855
229,1,230,4,964981220
230,1,231,4,964982903
231,1,232,5,964984002
232,2,233,3,1445714835
233,2,19,4,1445715029
234,2,234,4,1445715228
235,2,220,4,1445714885
236,2,235,4,1445714952
237,2,236,3,1445714960
238,2,237,4,1445715013
239,2,238,4,1445715064
240,2,239,4,1445715141
241,2,240,5,1445714980
242,2,241,4,1445715154
243,2,242,3,1445714974
244,2,243,4,1445714926
245,2,244,3,1445714941
246,2,245,4,1445714841
247,2,246,4,1445715340
248,2,247,5,1445715172
249,2,248,4,1445715166
250,2,249,5,1445715189
251,2,250,3,1445714891
252,2,251,2,1445714938
253,2,252,3,1445714874
254,2,253,5,1445714966
255,2,254,3,1445715145
256,2,255,4,1445714882
257,2,256,2,1445715276
258,2,257,3,1445714854
259,2,258,5,1445715272
260,2,259,5,1445714851
261,3,260,0,1306463578
262,3,29,0,1306464275
263,3,261,0,1306463619
264,3,262,0,1306464228
265,3,263,0,1306463595
266,3,264,5,1306463611
267,3,265,0,1306463567
268,3,266,0,1306463627
269,3,267,0,1306464216
270,3,268,0,1306463569
271,3,269,0,1306463624
272,3,87,3,1306463323
273,3,270,0,1306464189
274,3,271,3,1306463561
275,3,103,4,1306464003
276,3,121,0,1306464175
277,3,272,0,1306463572
278,3,129,0,1306464261
279,3,134,2,1306463559
280,3,273,4,1306463631
281,3,274,0,1306464293
282,3,275,5,1306463925
283,3,276,4,1306464054
284,3,277,0,1306463638
285,3,225,5,1306463603
286,3,278,0,1306464245
287,3,279,5,1306463770
288,3,280,0,1306464284
289,3,281,5,1306463718
290,3,282,5,1306463708
291,3,283,4,1306464021
292,3,284,5,1306463825
293,3,285,0,1306464204
294,3,286,5,1306463670
295,3,287,4,1306464036
296,3,288,5,1306463684
297,3,289,4,1306463993
298,3,290,5,1306463815
299,3,291,0,1306464164
300,4,292,3,986935199
301,4,293,2,945173447
302,4,294,3,986935047
303,4,4,2,945173425
304,4,295,3,964622786
305,4,296,3,964538444
306,4,297,4,986848784
