,one,two,three,four
0,1,1,4,1376697600
1,2,2,5,1396915200
2,3,3,1,1332115200
3,4,4,4,1404691200
4,5,5,4,1381363200
5,6,5,1,1381449600
6,7,6,3,1364342400
7,8,7,2,1396569600
8,9,8,5,1381881600
9,10,8,5,1362182400
10,11,8,5,1359936000
11,12,9,5,1383264000
12,13,9,4,1382918400
13,14,10,5,1380931200
14,15,11,5,1374969600
15,16,11,5,1389052800
16,17,11,5,1381708800
17,18,11,5,1390435200
18,19,12,5,1404086400
19,20,12,4,1358208000
20,21,12,5,1386374400
21,22,12,5,1382572800
22,23,13,5,1403136000
23,24,13,4,1381363200
24,25,13,5,1340150400
25,26,13,3,1327276800
26,27,14,2,1404432000
27,28,14,4,1367971200
28,29,14,5,1345852800
29,30,14,3,1397865600
30,31,14,4,1395360000
31,32,14,5,1351987200
32,33,14,5,1361145600
33,34,14,5,1372636800
34,35,14,4,1397952000
35,36,14,4,1291766400
36,37,14,2,1385078400
37,38,14,5,1391644800
38,39,14,5,1400803200
39,40,14,3,1347148800
40,41,14,5,1372982400
41,42,14,2,1389225600
42,43,14,4,1375574400
43,44,14,1,1394841600
44,45,14,5,1375142400
45,46,14,5,1401580800
46,47,15,1,1403136000
47,48,15,5,1381708800
48,49,15,2,1399420800
49,50,15,5,1386547200
50,51,15,1,1401926400
51,52,15,4,1368316800
52,53,15,4,1405036800
53,54,16,1,1371513600
54,55,17,5,1378252800
55,56,18,3,1373673600
56,57,19,2,1390435200
57,58,20,2,1380672000
58,59,21,1,1394409600
59,58,22,2,1380672000
60,60,23,3,1312156800
61,61,23,5,1358899200
62,62,23,1,1298592000
63,63,24,1,1393804800
64,64,24,5,1339027200
65,65,24,2,1378944000
66,66,25,4,1303084800
67,67,26,5,1371168000
68,68,26,1,1340236800
69,69,26,5,1403827200
70,70,26,5,1390780800
71,71,26,5,1363651200
72,72,26,4,1359331200
73,73,26,5,1387238400
74,74,26,5,1370995200
75,75,26,5,1358812800
76,76,26,5,1401667200
77,77,26,3,1369526400
78,78,26,5,1339286400
79,79,26,5,1382486400
80,80,27,5,1321488000
81,81,28,5,1398297600
82,82,28,5,1370908800
83,83,29,2,1397174400
84,58,30,1,1380672000
85,84,31,3,1387756800
86,85,32,5,1392768000
87,86,32,5,1387411200
88,87,33,5,1402099200
89,88,34,5,1398988800
90,89,34,5,1386115200
91,90,35,3,1381449600
92,91,35,4,1380326400
93,92,35,1,1393286400
94,93,36,3,1388793600
95,94,37,5,1398297600
96,95,38,5,1370995200
