,one,two,three,four
0,1,1,5,1365465600
1,2,2,4,1392336000
2,3,2,3,1373241600
3,4,3,4,1378425600
4,5,3,5,1363910400
5,6,4,5,1331078400
6,7,4,5,1366675200
7,8,4,5,1353888000
8,9,4,2,1375401600
9,10,4,5,1338422400
10,11,4,5,1331337600
11,12,4,5,1331856000
12,13,4,2,1369440000
13,14,4,5,1338076800
14,15,5,5,1299110400
15,16,6,5,1404518400
16,17,6,5,1389225600
17,18,6,4,1404864000
18,19,7,5,1373932800
19,20,7,5,1335657600
20,21,7,4,1403308800
21,22,7,5,1372464000
22,23,7,5,1393977600
23,24,7,5,1348704000
24,25,7,5,1301529600
25,26,7,5,1347840000
26,27,7,5,1357862400
27,28,7,5,1395187200
28,29,7,5,1376697600
29,30,7,5,1400716800
30,31,7,4,1396310400
31,32,7,4,1399680000
32,33,7,4,1354838400
33,34,7,4,1361836800
34,35,7,5,1323820800
35,36,7,5,1374019200
36,37,7,5,1359244800
37,38,7,5,1368316800
38,39,7,4,1396656000
39,40,7,3,1398124800
40,41,7,5,1397088000
41,42,7,5,1379289600
42,43,7,5,1296604800
43,44,7,4,1381795200
44,45,7,5,1331769600
45,46,7,5,1384819200
46,47,7,4,1299024000
47,48,7,5,1320192000
48,49,7,5,1361836800
49,50,7,4,1374364800
50,51,7,5,1307836800
51,52,7,5,1402790400
52,53,7,3,1369008000
53,54,7,3,1381968000
54,55,7,5,1346457600
55,56,7,3,1397088000
56,57,7,4,1284163200
57,58,7,4,1384905600
58,59,7,3,1285372800
59,60,7,4,1378339200
60,61,8,3,1361577600
61,62,8,2,1375142400
62,63,9,5,1302134400
63,64,9,5,1375228800
64,65,9,5,1357171200
65,66,9,5,1345420800
66,67,9,4,1356480000
67,68,9,5,1334361600
68,69,9,3,1373673600
69,70,9,4,1385942400
70,71,9,4,1362787200
71,72,9,5,1397347200
72,73,9,5,1264291200
73,74,9,5,1342137600
74,75,10,5,1318896000
75,76,10,5,1306886400
76,77,11,5,1350259200
77,66,11,5,1345420800
78,78,11,5,1382832000
79,79,11,4,1356220800
80,80,11,2,1339459200
81,81,11,4,1352851200
82,82,11,5,1368921600
83,83,11,2,1404691200
84,84,12,4,1359331200
85,85,12,5,1388707200
86,86,12,5,1291507200
87,87,12,4,1394668800
88,88,12,5,1264204800
89,89,12,5,1391731200
90,90,12,5,1323388800
91,91,12,4,1291593600
92,92,12,5,1225497600
93,93,12,2,1322179200
94,94,12,5,1384992000
95,95,12,4,1352160000
96,96,12,5,1347753600
97,78,12,5,1344384000
98,97,12,5,1384300800
99,98,12,5,1272412800
100,99,12,4,1360281600
101,100,12,5,1390780800
102,101,12,3,1354406400
103,102,12,4,1376265600
104,103,12,3,1313539200
105,80,12,4,1339459200
106,104,12,5,1386633600
107,105,12,3,1255651200
108,106,12,5,1377734400
109,107,12,5,1296086400
110,108,12,4,1235606400
111,109,12,5,1246233600
112,110,12,4,1359504000
113,72,12,5,1397347200
114,111,12,5,1291075200
115,112,13,5,1346630400
116,113,13,5,1357084800
117,114,13,5,1288915200
118,115,13,5,1293408000
119,116,14,5,1385424000
120,117,15,5,1387756800
121,118,16,5,1375056000
122,119,16,4,1357257600
123,120,17,5,1380672000
124,121,18,5,1355356800
125,122,19,5,1397520000
126,123,20,5,1389484800
127,124,20,1,1365379200
128,125,20,5,1355788800
129,126,21,5,1356652800
130,127,21,5,1391299200
131,128,22,3,1277510400
132,129,22,4,1223424000
133,130,22,5,1300924800
134,131,22,3,1360281600
135,132,22,5,1372377600
