,one,two,three,four
0,1,1,5,1259798400
1,2,1,5,1371081600
2,3,1,5,1257984000
3,4,1,5,1314144000
4,5,1,5,1308268800
5,6,1,5,1253577600
6,7,1,5,1395532800
7,8,2,1,1360886400
8,9,2,5,1360108800
9,10,2,5,1206057600
10,11,3,5,1359849600
11,12,3,5,1363737600
12,13,4,5,1361577600
13,14,4,5,1383091200
14,15,4,5,1385683200
15,16,4,3,1367107200
16,17,4,5,1374969600
17,18,4,5,1386979200
18,19,4,5,1404000000
19,20,4,5,1357862400
20,21,5,5,1395619200
21,22,5,5,1380240000
22,23,5,5,1372032000
23,24,6,3,1365033600
24,25,6,2,1370908800
25,26,7,3,1315440000
26,27,7,5,1294531200
27,28,8,3,1400457600
28,29,8,5,1389571200
29,30,8,5,1398384000
30,31,8,4,1398643200
31,32,8,5,1388448000
32,33,8,5,1402617600
33,34,9,5,1364774400
34,35,10,3,1398902400
35,36,10,5,1404950400
36,37,10,5,1394409600
37,38,11,1,1368576000
38,39,12,5,1369785600
39,40,12,4,1369008000
40,41,13,5,1338076800
41,42,14,5,1351468800
42,43,14,4,1189641600
43,44,14,5,1369785600
44,45,14,5,1153094400
45,46,14,5,1140048000
46,47,14,5,1238284800
47,48,14,5,1355788800
48,49,14,5,1237939200
49,50,14,4,1386806400
50,51,14,5,1398038400
51,52,14,5,1396569600
52,53,14,2,1229385600
53,54,14,5,1379808000
54,55,14,5,1384992000
55,56,14,5,1391040000
56,57,14,5,1399593600
57,58,14,5,1143504000
58,59,14,5,1389139200
59,60,14,1,1394236800
60,61,14,4,1143072000
61,62,14,5,1390953600
62,63,14,5,1403395200
63,64,14,4,1376092800
64,65,14,5,1322438400
65,66,14,5,1325376000
66,67,14,4,1391126400
67,68,14,1,1396828800
68,69,14,5,1385078400
69,70,14,5,1401235200
70,71,14,5,1356048000
71,72,14,5,987033600
72,73,14,5,1219449600
73,74,14,5,1150934400
74,75,14,4,1192924800
75,76,14,1,1265328000
76,77,14,1,1260489600
77,78,14,3,1358640000
78,79,14,5,1392508800
79,80,14,5,1179964800
80,81,14,5,1401667200
81,82,14,4,1379030400
82,83,14,5,1389139200
83,84,14,4,1066780800
84,85,14,4,1236816000
85,86,14,5,1303257600
86,87,14,5,1403654400
87,88,14,5,1373673600
88,89,14,1,1368057600
89,90,14,5,1135123200
90,91,14,3,1193616000
91,92,14,5,1385856000
92,93,14,5,1115596800
93,94,14,5,1356739200
94,95,14,5,1203292800
95,96,14,4,1398211200
96,97,14,5,1361059200
97,98,14,5,1203638400
98,99,14,5,1046649600
99,100,14,5,1369785600
100,101,14,5,1402444800
101,102,14,4,1394755200
102,103,14,5,1390003200
103,104,14,5,1378512000
104,105,14,5,1365724800
105,106,14,5,1387584000
106,107,14,5,1370390400
107,108,14,5,1363910400
108,109,14,5,1153180800
109,110,14,5,1153872000
110,111,14,5,1364083200
111,112,14,5,1375142400
112,113,14,4,1363737600
113,114,14,4,1376956800
114,115,14,5,1396137600
115,116,14,5,1373932800
116,117,14,5,1151452800
117,118,14,5,1372550400
118,119,14,1,1368230400
119,120,14,5,1386115200
120,121,14,5,1392076800
